timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg
2024-04-26,21.91,91.2,909.1,11.55
2024-04-27,19.08,85.46,912.0,12.05
2024-04-28,24.86,89.72,870.9,12.54
2024-04-29,23.88,85.27,895.4,14.77
2024-04-30,23.98,,924.6,15.07
2024-05-01,19.73,92.02,763.2,11.78
2024-05-02,25.51,84.0,792.1,13.43
2024-05-03,18.5,88.89,959.5,19.93
2024-05-04,23.47,,913.7,18.68
2024-05-05,27.48,90.47,885.3,14.81
2024-05-06,19.52,81.14,901.5,13.61
2024-05-07,20.58,87.74,927.8,13.86
2024-05-08,22.25,89.23,856.8,15.34
2024-05-09,20.74,77.97,837.7,10.43
2024-05-10,18.12,80.27,915.7,12.73
2024-05-11,22.17,76.84,,8.49
2024-05-12,19.34,83.92,,
2024-05-13,,,763.8,15.44
2024-05-14,19.7,91.01,982.3,12.05
2024-05-15,25.87,85.3,937.8,18.22
2024-05-16,,91.51,920.5,9.82
2024-05-17,21.19,79.48,978.6,9.11
2024-05-18,24.03,78.19,1033.2,14.17
2024-05-19,18.92,84.78,981.1,16.64
2024-05-20,22.57,86.54,752.7,18.55
2024-05-21,25.27,,797.6,12.12
2024-05-22,17.98,76.73,850.0,16.74
2024-05-23,22.46,84.64,902.1,13.38
2024-05-24,22.65,79.78,,12.98
2024-05-25,23.95,87.68,841.9,16.15
2024-05-26,18.91,86.47,914.9,15.46
2024-05-27,18.7,81.24,839.6,
2024-05-28,23.3,82.94,851.1,17.93
2024-05-29,22.74,80.76,787.5,17.64
2024-05-30,22.63,84.75,826.1,11.62
2024-05-31,22.87,88.82,791.9,14.69
2024-06-01,20.3,81.06,821.9,14.98
2024-06-02,22.58,87.02,984.3,14.28
2024-06-03,22.73,82.88,824.0,11.85
2024-06-04,20.21,81.83,1110.6,11.49
2024-06-05,26.66,84.57,939.5,13.42
2024-06-06,23.18,80.86,914.8,17.02
2024-06-07,19.02,82.79,831.3,15.13
2024-06-08,23.64,80.21,956.0,12.39
2024-06-09,19.56,92.86,853.9,15.82
2024-06-10,23.97,85.14,909.8,4.95
2024-06-11,24.9,82.2,1104.8,16.95
2024-06-12,19.95,85.86,892.3,8.28
2024-06-13,,84.55,991.9,12.41
2024-06-14,,84.12,843.7,10.14
2024-06-15,24.06,,897.2,9.62
2024-06-16,26.74,88.03,1041.7,16.98
2024-06-17,21.39,82.88,849.8,12.1
2024-06-18,20.12,,1045.0,14.54
2024-06-19,19.78,,956.6,13.36
2024-06-20,19.96,75.79,855.0,14.93
2024-06-21,21.81,78.94,950.6,13.73
2024-06-22,,,977.8,9.65
2024-06-23,22.69,91.58,949.7,16.49
2024-06-24,24.07,84.0,774.4,12.02
2024-06-25,22.03,87.31,841.8,8.83
2024-06-26,25.63,86.25,880.2,12.22
2024-06-27,,97.32,894.0,18.0
2024-06-28,28.8,89.48,949.7,16.05
2024-06-29,23.56,84.49,914.2,12.45
2024-06-30,,81.18,793.2,12.45
2024-07-01,19.32,78.57,930.4,12.54
2024-07-02,,85.81,948.8,19.73
2024-07-03,21.44,81.97,944.8,14.65
2024-07-04,,79.31,986.5,14.79
2024-07-05,23.18,82.41,966.7,16.59
2024-07-06,21.82,80.67,936.7,14.22
2024-07-07,19.88,91.75,894.4,12.72
2024-07-08,18.21,88.53,767.1,12.91
2024-07-09,20.88,84.97,934.4,13.29
2024-07-10,24.14,90.92,916.6,13.39
2024-07-11,22.54,,921.7,15.68
2024-07-12,18.89,81.55,797.9,13.66
2024-07-13,22.43,91.09,813.5,15.7
2024-07-14,22.96,87.16,984.3,13.26
2024-07-15,,80.85,896.8,
2024-07-16,22.38,84.24,954.5,7.51
2024-07-17,22.15,81.5,902.3,16.25
2024-07-18,19.14,79.47,902.4,14.54
2024-07-19,22.89,88.7,975.1,16.49
2024-07-20,23.4,92.64,858.7,
2024-07-21,24.71,79.41,907.7,19.77
2024-07-22,24.63,87.25,863.0,13.08
2024-07-23,18.56,82.4,865.2,16.82
2024-07-24,19.66,83.05,875.3,10.38
2024-07-25,23.29,82.63,,15.34
2024-07-26,23.28,81.54,861.7,10.34
2024-07-27,23.29,85.19,1000.5,
2024-07-28,31.63,81.68,828.4,19.24
2024-07-29,23.43,86.08,885.1,12.93
2024-07-30,24.84,84.8,864.8,14.15
2024-07-31,24.39,84.04,1015.8,16.11
2024-08-01,23.63,81.37,915.7,14.99
2024-08-02,21.21,82.69,982.5,13.95
2024-08-03,23.9,88.02,781.2,14.59
2024-08-04,20.07,87.0,921.4,
2024-08-05,21.41,81.09,971.2,13.33
2024-08-06,20.79,85.4,906.6,14.1
2024-08-07,22.2,88.01,985.2,16.65
2024-08-08,27.79,78.32,858.6,16.82
2024-08-09,17.33,87.17,1012.7,17.06
2024-08-10,23.72,82.35,1083.9,15.42
2024-08-11,,87.28,871.0,10.07
2024-08-12,20.82,81.95,864.4,18.4
2024-08-13,24.72,,1016.3,10.06
2024-08-14,22.16,78.49,1026.4,14.41
2024-08-15,19.31,85.19,858.2,11.24
2024-08-16,20.21,86.04,,13.31
2024-08-17,23.7,81.38,877.5,
2024-08-18,20.17,87.55,792.4,14.46
2024-08-19,22.54,78.35,826.5,14.77
2024-08-20,22.11,84.74,819.7,18.34
2024-08-21,20.37,80.16,,14.86
2024-08-22,27.36,82.39,897.2,12.77
2024-08-23,23.58,85.19,918.7,16.39
2024-08-24,16.94,81.56,1024.0,17.07
2024-08-25,,,820.1,9.82
2024-08-26,20.35,89.03,978.7,15.29
2024-08-27,24.13,82.69,882.9,15.6
2024-08-28,20.02,88.34,896.0,12.61
2024-08-29,21.71,80.48,954.0,17.63
2024-08-30,23.26,87.12,810.2,13.05
2024-08-31,24.16,90.77,930.6,13.88
2024-09-01,19.0,75.11,913.3,12.98
2024-09-02,21.16,81.81,939.4,13.55
2024-09-03,,87.31,923.1,
2024-09-04,20.37,84.19,1096.4,9.18
2024-09-05,26.41,86.48,849.0,18.28
2024-09-06,23.01,82.58,857.5,10.96
2024-09-07,,85.35,850.1,10.53
2024-09-08,24.29,84.38,855.6,7.04
2024-09-09,27.31,89.67,849.0,11.58
2024-09-10,24.58,,995.1,9.53
2024-09-11,18.2,,1013.6,18.43
2024-09-12,20.79,83.35,854.3,16.53
2024-09-13,25.17,83.05,833.4,11.44
2024-09-14,20.23,83.27,937.7,
2024-09-15,23.11,86.58,855.8,16.45
2024-09-16,23.94,83.32,950.6,
2024-09-17,19.68,86.16,916.2,6.0
2024-09-18,21.85,93.3,778.7,20.37
2024-09-19,13.9,88.48,1023.8,9.33
2024-09-20,19.44,83.7,1043.7,8.56
2024-09-21,21.37,89.8,851.0,16.57
2024-09-22,18.88,83.37,869.0,20.82
2024-09-23,26.08,76.85,,17.65
2024-09-24,18.42,80.97,926.8,15.19
2024-09-25,20.9,77.52,952.7,15.28
2024-09-26,,83.59,1060.8,16.06
2024-09-27,25.6,85.07,885.8,
2024-09-28,18.41,91.71,836.1,14.34
2024-09-29,24.91,86.31,789.7,13.81
2024-09-30,22.03,84.12,841.5,13.31
2024-10-01,19.55,88.32,,11.24
2024-10-02,23.16,76.16,1043.6,12.66
2024-10-03,22.5,85.94,858.6,8.42
2024-10-04,20.5,88.08,917.9,13.2
2024-10-05,22.17,79.09,898.7,10.53
2024-10-06,21.04,89.58,995.1,10.19
2024-10-07,22.28,86.35,1102.2,14.04
2024-10-08,23.66,83.34,,17.68
2024-10-09,25.97,87.53,860.8,16.25
2024-10-10,18.91,,983.5,8.79
2024-10-11,27.33,85.73,954.6,
2024-10-12,17.12,85.99,,16.32
2024-10-13,21.62,83.16,946.7,10.55
2024-10-14,23.47,81.6,871.3,12.83
2024-10-15,22.7,88.32,,15.15
2024-10-16,20.44,81.58,988.7,10.59
2024-10-17,21.48,85.29,965.6,13.82
2024-10-18,20.77,83.09,940.6,9.5
2024-10-19,,86.92,985.3,11.7
2024-10-20,24.12,86.33,993.5,14.46
2024-10-21,22.89,89.15,1010.6,8.72
2024-10-22,20.27,82.96,951.9,14.82
2024-10-23,24.25,83.92,886.6,13.44
2024-10-24,22.77,81.08,911.7,15.16
2024-10-25,24.03,83.22,996.5,14.17
2024-10-26,23.57,,834.6,17.59
